MCES	Nonconformity	Ion Type
11.39	6.768077087402347	[M-H]-
10.25	-7.83258056640625	[M+H]+
10.25	1.4857666015624886	[M-H]-
9.55	-3.592294311523432	[M-H]-
9.63	-0.8380981445312443	[M-H]-
9.63	10.7305908203125	[M+H]+
9.45	0.8431457519531307	[M-H]-
9.5	3.4345581054687386	[M-H]-
9.25	1.0416381835937614	[M-H]-
8.7	-17.716012573242182	[M+Na]+
9.13	0.712982177734375	[M-H]-
11.14	5.728562927246088	[M+H]+
11.14	11.00445404052735	[M-H]-
10.76	-1.5745727539062386	[M-H]-
9.85	5.187503051757801	[M+H]+
8.914	0.6850982666015568	[M-H]-
9.74	-3.8735839843749886	[M-H]-
9.3	-7.439294433593744	[M-H]-
8.44	4.552639770507824	[M-H]-
11.47	-15.290386962890636	[M-H]-
7.24	-2.2228881835937386	[M-H]-
10.78	-7.769049072265631	[M+H]+
10.0	-2.4956512451171875	[M+H]+
10.0	2.316830444335949	[M+Na]+
9.88	-4.361425781250006	[M+H]+
10.055	2.110079956054676	[M-H]-
9.72	-5.8665313720703125	[M+H]+
9.0	6.536068725585935	[M-H]-
10.805	2.0670593261718864	[M-H]-
11.195	3.5387039184570312	[M+H]+
11.195	4.808711242675784	[M-H]-
9.85	-4.740209960937506	[M-H]-
6.574	-1.6372314453124943	[M-H]-
10.58	4.35253448486327	[M-H]-
11.45	4.239942932128912	[M-H]-
10.305	-2.612277221679676	[M+H]+
10.81	-0.3740585327148409	[M+H]+
10.81	4.248919677734378	[M-H]-
10.77	-2.2549377441406193	[M-H]-
10.195	-2.683258056640625	[M+H]+
10.55	2.5475402832031193	[M-H]-
10.695	0.20158691406250284	[M-H]-
9.87	-3.102752685546875	[M+H]+
9.88	-4.417230224609369	[M+Na]+
9.88	-7.91595458984375	[M+H]+
9.88	-9.151815795898443	[M-H]-
10.78	-6.515783691406256	[M+H]+
9.98	2.7183959960937614	[M-H]-
10.555	3.7270431518554688	[M+H]+
10.555	5.144500732421875	[M-H]-
10.2	-2.440359497070318	[M-H]-
9.8	-2.42694091796875	[M-H]-
10.37	8.16362915039062	[M+H]+
10.37	-8.844409179687489	[M-H]-
10.48	0.11544494628907387	[M-H]-
10.77	2.2190658569335966	[M+H]+
10.77	7.980552673339844	[M-H]-
